node_id,c_000,c_001,c_002,c_003,c_004,c_005,c_006,c_007,c_008,c_009,c_010,c_011,c_012,c_013,c_014,c_015,c_016,c_017,c_018,c_019,c_020,c_021,c_022,c_023,c_024,c_025,c_026,c_027,c_028,c_029,c_030,c_031,c_032,c_033,c_034,c_035,c_036,c_037,c_038,c_039
0,-2.009143114089966,-0.16959130764007568,2.4627063274383545,0.6025696992874146,-1.2490620613098145,0.6804823875427246,1.7932777404785156,-0.35835084319114685,-1.9779517650604248,-0.11438452452421188,2.406911849975586,0.6914700269699097,-1.2860121726989746,0.6340394020080566,1.632991909980774,-0.2926059365272522,-1.9803385734558105,-0.09082011878490448,2.349024534225464,0.7807992696762085,-1.3302775621414185,0.6205639243125916,1.4736131429672241,-0.23189771175384521,-2.0221188068389893,-0.12323754280805588,2.3010659217834473,0.8574188351631165,-1.3592898845672607,0.6388683915138245,1.3152049779891968,-0.1647874414920807,-2.099465847015381,-0.22281546890735626,2.279777765274048,0.910519540309906,-1.3573276996612549,0.6875388622283936,1.1617158651351929,-0.07961477339267731
1,-1.978840947151184,-0.11130411922931671,2.407750129699707,0.6915627121925354,-1.286016583442688,0.6306230425834656,1.6316938400268555,-0.2926364839076996,-1.9811604022979736,-0.08776064217090607,2.350088119506836,0.7808325290679932,-1.3303916454315186,0.6171372532844543,1.4723268747329712,-0.23193450272083282,-2.022747039794922,-0.12001261860132217,2.3022823333740234,0.8574038147926331,-1.3593831062316895,0.635502278804779,1.31423020362854,-0.16482338309288025,-2.099806308746338,-0.21921049058437347,2.2810328006744385,0.9104717373847961,-1.3573840856552124,0.6841782927513123,1.1612751483917236,-0.07961755990982056,-2.206098794937134,-0.37868085503578186,2.3055977821350098,0.940209686756134,-1.3243039846420288,0.762812077999115,1.0277695655822754,0.03188823163509369
2,-1.9820494651794434,-0.08479571342468262,2.350898027420044,0.7808435559272766,-1.3303964138031006,0.6137677431106567,1.4711031913757324,-0.23196789622306824,-2.0235698223114014,-0.11682567000389099,2.303314685821533,0.8573715686798096,-1.3595064878463745,0.6320344805717468,1.3130204677581787,-0.16486389935016632,-2.100438117980957,-0.21557405591011047,2.2822329998016357,0.9104160666465759,-1.3574764728546143,0.6806944012641907,1.1603573560714722,-0.0796579048037529,-2.2064425945281982,-0.3744317293167114,2.3068761825561523,0.9401417970657349,-1.324345588684082,0.7592675685882568,1.027350664138794,0.03188503161072731,-2.3357067108154297,-0.5757977962493896,2.380284070968628,0.9555725455284119,-1.2680355310440063,0.8649354577064514,0.9491508603096008,0.17415831983089447
3,-2.0244572162628174,-0.113734669983387,2.3041014671325684,0.8573126196861267,-1.3595116138458252,0.6286236643791199,1.3118704557418823,-0.16490043699741364,-2.1012630462646484,-0.211969792842865,2.283252000808716,0.9103384613990784,-1.3575993776321411,0.6771022081375122,1.1592214107513428,-0.07970311492681503,-2.2070791721343994,-0.37012970447540283,2.3080973625183105,0.9400632977485657,-1.3244236707687378,0.7555885314941406,1.0264825820922852,0.031838949769735336,-2.3360543251037598,-0.5707340240478516,2.381629467010498,0.955494225025177,-1.2680517435073853,0.8611413836479187,0.9487447142601013,0.174154594540596,-2.4838197231292725,-0.7916780710220337,2.460777521133423,0.9477976560592651,-1.189984917640686,0.9862220287322998,0.9960341453552246,0.348859578371048
4,-2.102147102355957,-0.20846611261367798,2.2840287685394287,0.9102311134338379,-1.3576043844223022,0.6735664010047913,1.1581426858901978,-0.0797436535358429,-2.20790696144104,-0.3658505082130432,2.309133768081665,0.9399604201316833,-1.3245357275009155,0.7517902255058289,1.0254108905792236,0.03178757429122925,-2.3366966247558594,-0.5655902624130249,2.3829116821289062,0.9554040431976318,-1.2681055068969727,0.857197642326355,0.9479057788848877,0.17410118877887726,-2.4841718673706055,-0.7857221961021423,2.4621951580047607,0.9477245807647705,-1.1899659633636475,0.9821316003799438,0.9956204295158386,0.348855197429657,-2.6491684913635254,-1.0001646280288696,2.4506969451904297,0.865753173828125,-1.0746524333953857,1.1145485639572144,1.2684881687164307,0.554872989654541
5,-2.2087864875793457,-0.3616793751716614,2.3099231719970703,0.9398259520530701,-1.3245404958724976,0.7480471730232239,1.0243940353393555,0.03174180909991264,-2.3375279903411865,-0.5604575276374817,2.383997917175293,0.9552879929542542,-1.2681993246078491,0.8531196117401123,0.9468716979026794,0.1740419566631317,-2.48482084274292,-0.7796565890312195,2.463542938232422,0.9476402997970581,-1.189985990524292,0.9778734445571899,0.9947640895843506,0.34879279136657715,-2.6495254039764404,-0.9933471083641052,2.4521055221557617,0.8657357096672058,-1.074581503868103,1.1101446151733398,1.268030047416687,0.5548678636550903,-2.82863712310791,-1.1721783876419067,2.2497739791870117,0.650185227394104,-0.8782904744148254,1.23528254032135,1.805320143699646,0.7927286624908447
6,-2.338402032852173,-0.5554423332214355,2.384824752807617,0.9551395177841187,-1.2682034969329834,0.8490955233573914,0.945891261100769,0.17398951947689056,-2.4856560230255127,-0.773589015007019,2.4646832942962646,0.9475309252738953,-1.1900544166564941,0.973463237285614,0.993707537651062,0.3487238883972168,-2.650182008743286,-0.9863911867141724,2.4534451961517334,0.8657143115997314,-1.0745517015457153,1.1055537462234497,1.2670726776123047,0.5547948479652405,-2.8289995193481445,-1.1646499633789062,2.251002073287964,0.6503138542175293,-0.8781310319900513,1.2305834293365479,1.804774522781372,0.7927227020263672,-3.0031003952026367,-1.2797267436981201,1.8175595998764038,0.301605224609375,-0.5281883478164673,1.3308707475662231,2.3910419940948486,1.0730831623077393
7,-2.4865241050720215,-0.7676493525505066,2.465549945831299,0.947389543056488,-1.1900579929351807,0.9691052436828613,0.9927054047584534,0.3486632704734802,-2.6510214805603027,-0.9794209003448486,2.4545786380767822,0.8656749725341797,-1.0745824575424194,1.1007920503616333,1.265885591506958,0.554714560508728,-2.8296639919281006,-1.1569595336914062,2.2521777153015137,0.6504576802253723,-0.8780163526535034,1.225679636001587,1.80361807346344,0.7926374077796936,-3.0034677982330322,-1.2717539072036743,1.8183997869491577,0.30197009444236755,-0.5278710722923279,1.325938105583191,2.3904011249542236,1.0730761289596558,-3.1260905265808105,-1.3049777746200562,1.1808865070343018,-0.10079161077737808,0.06689174473285675,1.3763277530670166,2.66056752204895,1.3801003694534302
8,-2.6518824100494385,-0.9725884199142456,2.4554402828216553,0.8656083941459656,-1.0745849609375,1.0960808992385864,1.2647573947906494,0.5546442866325378,-2.830508232116699,-1.1492444276809692,2.253176689147949,0.650602400302887,-0.8779832720756531,1.2205873727798462,1.8021736145019531,0.7925440073013306,-3.0041403770446777,-1.2636041641235352,1.8192225694656372,0.30238109827041626,-0.5276051163673401,1.3207865953445435,2.3890273571014404,1.0729764699935913,-3.1264617443084717,-1.2969005107879639,1.1811549663543701,-0.10015406459569931,0.06747724115848541,1.3712841272354126,2.6598827838897705,1.3800921440124512,-3.1349589824676514,-1.2550846338272095,0.4107116162776947,-0.43665507435798645,0.9712145328521729,1.3312867879867554,2.7006802558898926,1.6380940675735474
9,-2.831361770629883,-1.141675353050232,2.2539384365081787,0.6507324576377869,-0.8779839873313904,1.2155438661575317,1.8007973432540894,0.7924625277519226,-3.0049891471862793,-1.2554233074188232,1.8199318647384644,0.3028234839439392,-0.5274580121040344,1.3154324293136597,2.3873021602630615,1.072867512702942,-3.1271398067474365,-1.2886430025100708,1.1814582347869873,-0.09943462163209915,0.06800035387277603,1.3660147190093994,2.6584091186523438,1.3799766302108765,-3.1353304386138916,-1.24721360206604,0.4102886915206909,-0.43578994274139404,0.9722076654434204,1.3263531923294067,2.699988842010498,1.638084888458252,-2.9982268810272217,-1.16183602809906,-0.35709312558174133,-0.5881928205490112,2.019495964050293,1.1497001647949219,2.8688650131225586,1.8104993104934692
10,-3.0058352947235107,-1.2473937273025513,1.8204783201217651,0.30327141284942627,-0.5274555683135986,1.3101258277893066,2.385654926300049,1.0727728605270386,-3.1279919147491455,-1.2803528308868408,1.1817408800125122,-0.09864863008260727,0.06834114342927933,1.3605360984802246,2.656554698944092,1.3798507452011108,-3.1360087394714355,-1.2391691207885742,0.40996333956718445,-0.4348130524158478,0.9731215834617615,1.3212004899978638,2.698500394821167,1.6379560232162476,-2.998594284057617,-1.1543503999710083,-0.3582053780555725,-0.5872249603271484,2.0209617614746094,1.1452102661132812,2.8681461811065674,1.810489535331726,-2.746809244155884,-1.046224594116211,-0.9309925436973572,-0.48531395196914673,2.5948591232299805,0.8663759827613831,3.153918981552124,1.8533828258514404
11,-3.1288328170776367,-1.2722151279449463,1.1819703578948975,-0.09783373773097992,0.0683489590883255,1.3551043272018433,2.654782772064209,1.3797417879104614,-3.1368610858917236,-1.2310949563980103,0.40972983837127686,-0.4337402582168579,0.973756730556488,1.315845251083374,2.696626663208008,1.6378159523010254,-2.9992666244506836,-1.1467041969299316,-0.35915738344192505,-0.5861319303512573,2.0223286151885986,1.1405283212661743,2.866595506668091,1.810351848602295,-2.747169017791748,-1.0392167568206787,-0.9326199889183044,-0.48441585898399353,2.5965840816497803,0.8625784516334534,3.153153657913208,1.8533729314804077,-2.467139482498169,-0.9026450514793396,-1.1768666505813599,-0.12984509766101837,2.222687005996704,0.6616265773773193,3.372058391571045,1.7173285484313965
12,-3.1377017498016357,-1.2231708765029907,0.40957579016685486,-0.4326190948486328,0.9737727642059326,1.3105374574661255,2.694836378097534,1.6376948356628418,-3.000115394592285,-1.1390337944030762,-0.3599054217338562,-0.5849297642707825,2.0233049392700195,1.1356703042984009,2.8646411895751953,1.8102022409439087,-2.7478299140930176,-1.0320641994476318,-0.9340404272079468,-0.48340168595314026,2.5981996059417725,0.8586309552192688,3.1514971256256104,1.853232979774475,-2.4674911499023438,-0.8962305188179016,-1.1787148714065552,-0.12918786704540253,2.2242441177368164,0.6583293676376343,3.371257781982422,1.717319130897522,-2.253237724304199,-0.7328232526779175,-0.9945446848869324,0.4453275501728058,1.4503527879714966,0.5904860496520996,3.3568673133850098,1.499136209487915
13,-3.0009617805480957,-1.1315089464187622,-0.36044180393218994,-0.5836703777313232,2.0233304500579834,1.1308624744415283,2.8627729415893555,1.8100730180740356,-2.7486720085144043,-1.0248943567276,-0.9351730346679688,-0.48228734731674194,2.599363327026367,0.8545489311218262,3.1494061946868896,1.8530809879302979,-2.468139410018921,-0.8896910548210144,-1.1803358793258667,-0.12844614684581757,2.225698947906494,0.6549125909805298,3.3695201873779297,1.7171862125396729,-2.2535829544067383,-0.7271105647087097,-0.9962292313575745,0.44559502601623535,1.4515619277954102,0.5873627066612244,3.3560690879821777,1.4991276264190674,-2.151792049407959,-0.5675368905067444,-0.348855197429657,1.1794283390045166,0.857236385345459,0.5388092398643494,2.9775445461273193,1.2700635194778442
