node_id,q_000,q_001,q_002,q_003,q_004,q_005,q_006,q_007,q_008,q_009,q_010,q_011,q_012,q_013,q_014,q_015,q_016,q_017,q_018,q_019,q_020,q_021,q_022,q_023,q_024,q_025,q_026,q_027,q_028,q_029,q_030,q_031,q_032,q_033,q_034,q_035,q_036,q_037,q_038,q_039
12,-0.6825652122497559,-0.17406116425991058,-0.7151834964752197,-0.2122076004743576,-0.7611647248268127,-0.2588747441768646,-0.8128966689109802,-0.30771735310554504,-0.8612969517707825,-0.3512684404850006,-0.8989285826683044,-0.38338103890419006,-0.9230651259422302,-0.4018365442752838,-0.9357187747955322,-0.4085066020488739,-0.9408507943153381,-0.4070545732975006,-0.9415724277496338,-0.4004805088043213,-0.9394350647926331,-0.3904035985469818,-0.9354884028434753,-0.37796658277511597,-0.9314218163490295,-0.3649422228336334,-0.9295274615287781,-0.3538071811199188,-0.9314531087875366,-0.34660089015960693,-0.9367324709892273,-0.34344345331192017,-0.9422903060913086,-0.34192466735839844,-0.9433642625808716,-0.33789849281311035,-0.9352068305015564,-0.32713425159454346,-0.9145698547363281,-0.30684003233909607
13,-0.7205825448036194,-0.21306152641773224,-0.7665109634399414,-0.2596897780895233,-0.818195104598999,-0.30848002433776855,-0.866491436958313,-0.35195448994636536,-0.9039477109909058,-0.38396963477134705,-0.9278941750526428,-0.4023306369781494,-0.9404088258743286,-0.4089307487010956,-0.9454470276832581,-0.40742576122283936,-0.9460340738296509,-0.40077826380729675,-0.9436243772506714,-0.39056748151779175,-0.9392395615577698,-0.37792548537254333,-0.9346305727958679,-0.3646535575389862,-0.9321898818016052,-0.35327574610710144,-0.9336427450180054,-0.3458711504936218,-0.9385610818862915,-0.3425824046134949,-0.9438820481300354,-0.341007798910141,-0.9448338150978088,-0.3369956314563751,-0.9366309642791748,-0.3262922763824463,-0.9159702658653259,-0.30607253313064575,-0.8819059133529663,-0.2758505344390869
14,-0.7721380591392517,-0.2605733871459961,-0.8237836956977844,-0.309324711561203,-0.8720077872276306,-0.35274213552474976,-0.9093071222305298,-0.38467246294021606,-0.9330189824104309,-0.4029276371002197,-0.9452977180480957,-0.4094274640083313,-0.9501692652702332,-0.40784958004951477,-0.9506469368934631,-0.401147723197937,-0.9480923414230347,-0.3908630609512329,-0.9434283375740051,-0.3780879080295563,-0.9383795261383057,-0.3646128475666046,-0.9354002475738525,-0.3529893457889557,-0.9363124370574951,-0.3453424870967865,-0.9407608509063721,-0.341854453086853,-0.9457189440727234,-0.34014788269996643,-0.9464280009269714,-0.33608096837997437,-0.9380946755409241,-0.3253937065601349,-0.9173790812492371,-0.30523619055747986,-0.8832817077636719,-0.2750883400440216,-0.8375961780548096,-0.23716223239898682
15,-0.8296652436256409,-0.31023934483528137,-0.8778250217437744,-0.3536132872104645,-0.9149975776672363,-0.3854786157608032,-0.9384908676147461,-0.4036402106285095,-0.9504860639572144,-0.4100276231765747,-0.9550918340682983,-0.40834587812423706,-0.9553864002227783,-0.40156951546669006,-0.952711820602417,-0.3912297785282135,-0.9478957056999207,-0.37838077545166016,-0.9425657987594604,-0.364773690700531,-0.9391511678695679,-0.35294899344444275,-0.939531683921814,-0.3450576364994049,-0.9434431195259094,-0.34132716059684753,-0.9479288458824158,-0.33942103385925293,-0.9482678174972534,-0.33522340655326843,-0.9396823644638062,-0.324484258890152,-0.9188262820243835,-0.30434536933898926,-0.8846644163131714,-0.2742603123188019,-0.8389385938644409,-0.23640669882297516,-0.7862151861190796,-0.19562537968158722
16,-0.8839467167854309,-0.354555606842041,-0.9209974408149719,-0.3863693177700043,-0.9442999958992004,-0.4044570326805115,-0.9560254812240601,-0.4107438325881958,-0.9603159427642822,-0.40894556045532227,-0.9603270292282104,-0.4020634889602661,-0.9574581980705261,-0.39164844155311584,-0.9525145292282104,-0.37874406576156616,-0.9470304846763611,-0.3650636672973633,-0.9433397054672241,-0.3531084656715393,-0.9432931542396545,-0.3450174927711487,-0.9466777443885803,-0.3410431146621704,-0.9506237506866455,-0.3388945758342743,-0.9504813551902771,-0.3344987630844116,-0.9415144324302673,-0.32363227009773254,-0.9203953146934509,-0.30344536900520325,-0.8860834836959839,-0.27338093519210815,-0.8402858972549438,-0.23558907210826874,-0.7875189185142517,-0.1948769986629486,-0.7342129945755005,-0.15777352452278137
17,-0.9273110032081604,-0.38733214139938354,-0.950424313545227,-0.40535908937454224,-0.9619058966636658,-0.4115646779537201,-0.9658933877944946,-0.409661203622818,-0.9655702114105225,-0.4026603698730469,-0.9624059200286865,-0.3921387195587158,-0.9572601914405823,-0.37915873527526855,-0.9516465663909912,-0.3654232919216156,-0.9478067755699158,-0.35339590907096863,-0.9474936127662659,-0.3451760411262512,-0.9504574537277222,-0.34100306034088135,-0.9538739323616028,-0.33861100673675537,-0.9531807899475098,-0.3339740037918091,-0.9437183737754822,-0.3229127824306488,-0.9222050905227661,-0.30260348320007324,-0.8876208662986755,-0.2724948227405548,-0.8416668772697449,-0.23472397029399872,-0.7888250946998596,-0.19407051801681519,-0.7354775071144104,-0.15703165531158447,-0.6876373291015625,-0.12967059016227722
18,-0.9568686485290527,-0.4063337743282318,-0.9681050777435303,-0.4124709963798523,-0.9718139171600342,-0.41048145294189453,-0.9711679816246033,-0.4033728241920471,-0.9676567316055298,-0.3927311897277832,-0.9622072577476501,-0.37964436411857605,-0.9563893675804138,-0.36583372950553894,-0.9524253606796265,-0.3537523150444031,-0.951973557472229,-0.34546175599098206,-0.954678475856781,-0.34116116166114807,-0.9576719999313354,-0.33857104182243347,-0.9564364552497864,-0.33369138836860657,-0.946405827999115,-0.3223920166492462,-0.924381673336029,-0.30189335346221924,-0.8893928527832031,-0.27166780829429626,-0.8431612253189087,-0.233855202794075,-0.7901619076728821,-0.19322074949741364,-0.7367421984672546,-0.15623533725738525,-0.6888667941093445,-0.12893356382846832,-0.6492017507553101,-0.11419878154993057
19,-0.9746279120445251,-0.41345012187957764,-0.9780551791191101,-0.4113871157169342,-0.977109968662262,-0.40418949723243713,-0.9732625484466553,-0.39343851804733276,-0.9674573540687561,-0.3802312910556793,-0.9613334536552429,-0.3663143515586853,-0.9571707248687744,-0.35415902733802795,-0.9566054940223694,-0.3458159565925598,-0.9591806530952454,-0.3414459824562073,-0.9619137644767761,-0.3387288451194763,-0.9602410197257996,-0.3336515724658966,-0.9496468901634216,-0.32211166620254517,-0.9270349740982056,-0.30137985944747925,-0.8915228247642517,-0.2709714472293854,-0.8448820114135742,-0.23304671049118042,-0.7916063666343689,-0.19237060844898224,-0.7380342483520508,-0.15539953112602234,-0.6900942325592041,-0.1281447857618332,-0.6504022479057312,-0.11346442252397537,-0.6166737079620361,-0.10954391956329346
20,-0.9846222996711731,-0.41236555576324463,-0.983373761177063,-0.40509140491485596,-0.9792130589485168,-0.3942496180534363,-0.9730623960494995,-0.3809322118759155,-0.966580331325531,-0.3668953776359558,-0.9621174931526184,-0.3546352982521057,-0.9613646864891052,-0.34622013568878174,-0.9638357162475586,-0.3417990803718567,-0.9664382338523865,-0.33901315927505493,-0.9644901752471924,-0.3338087797164917,-0.95343416929245,-0.32207217812538147,-0.9302342534065247,-0.3011036515235901,-0.8941181898117065,-0.27046865224838257,-0.8469487428665161,-0.23236757516860962,-0.7932677865028381,-0.19158200919628143,-0.7394282221794128,-0.15456634759902954,-0.6913462281227112,-0.1273193508386612,-0.6515989899635315,-0.11267979443073273,-0.6178497076034546,-0.10881035774946213,-0.5843620896339417,-0.11045708507299423
21,-0.989964485168457,-0.4060659110546112,-0.9854857325553894,-0.39514556527137756,-0.9790120720863342,-0.38173624873161316,-0.9721819758415222,-0.36758947372436523,-0.9673672318458557,-0.35521113872528076,-0.9663259387016296,-0.3466934859752655,-0.9686189293861389,-0.34220197796821594,-0.9711167216300964,-0.33936557173728943,-0.9690226912498474,-0.33409202098846436,-0.9576637744903564,-0.3222280442714691,-0.9339720010757446,-0.30106475949287415,-0.8972463607788086,-0.2701984643936157,-0.8494654297828674,-0.2318781018257141,-0.7952612042427063,-0.190921351313591,-0.7410295009613037,-0.15379589796066284,-0.6926950216293335,-0.1264987736940384,-0.6528179049491882,-0.11186005920171738,-0.6190204620361328,-0.10802698135375977,-0.5855137705802917,-0.10972336679697037,-0.547258198261261,-0.1119014099240303
