edge_id,global_i,global_j,block_i,block_j,index_i,index_j,d_contact,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
34,761.0,974.0,8.0,8.0,88.0,301.0,0.32252469658851624,0.346485048532486,False,0,0,True,False
35,761.0,975.0,8.0,8.0,88.0,302.0,0.32654148340225214,0.3308184742927551,False,0,0,True,False
36,761.0,976.0,8.0,8.0,88.0,303.0,0.3358154594898224,0.31098294258117676,False,0,0,True,False
37,761.0,977.0,8.0,8.0,88.0,304.0,0.3473137617111206,0.2898595929145813,False,0,0,True,False
38,761.0,978.0,8.0,8.0,88.0,305.0,0.3589514493942261,0.2723243236541748,False,0,0,True,False
39,762.0,966.0,8.0,8.0,89.0,293.0,0.34935712814331055,0.38017478585243225,False,0,0,True,False
40,762.0,967.0,8.0,8.0,89.0,294.0,0.33141866326332087,0.3843385875225067,False,0,0,True,False
41,762.0,968.0,8.0,8.0,89.0,295.0,0.32889434695243835,0.3851608633995056,False,0,0,True,False
42,762.0,969.0,8.0,8.0,89.0,296.0,0.3325730562210083,0.38392603397369374,False,0,0,True,False
43,762.0,970.0,8.0,8.0,89.0,297.0,0.3348565697669983,0.38198658823966974,False,0,0,True,False
44,762.0,971.0,8.0,8.0,89.0,298.0,0.3316921591758728,0.3799196481704712,False,0,0,True,False
45,762.0,972.0,8.0,8.0,89.0,299.0,0.32378265261650085,0.3771293759346008,False,0,0,True,False
46,762.0,973.0,8.0,8.0,89.0,300.0,0.31551793217659,0.37209025025367737,False,0,0,True,False
47,762.0,974.0,8.0,8.0,89.0,301.0,0.3118152618408203,0.3630554378032684,False,0,0,True,False
48,762.0,975.0,8.0,8.0,89.0,302.0,0.31528571248054504,0.3489585518836975,False,0,0,True,False
49,762.0,976.0,8.0,8.0,89.0,303.0,0.3248196840286255,0.3303304612636566,False,0,0,True,False
50,762.0,977.0,8.0,8.0,89.0,304.0,0.3374305069446564,0.30991196632385254,False,0,0,True,False
51,762.0,978.0,8.0,8.0,89.0,305.0,0.3508533835411072,0.29212579131126404,False,0,0,True,False
52,763.0,967.0,8.0,8.0,90.0,294.0,0.34650954604148865,0.3768118917942047,False,0,0,True,False
53,763.0,968.0,8.0,8.0,90.0,295.0,0.33606261014938354,0.380102664232254,False,0,0,True,False
54,763.0,969.0,8.0,8.0,90.0,296.0,0.3329748511314392,0.3819910287857056,False,0,0,True,False
55,763.0,970.0,8.0,8.0,90.0,297.0,0.3307649493217468,0.38344281911849976,False,0,0,True,False
56,763.0,971.0,8.0,8.0,90.0,298.0,0.3252001702785492,0.3846613168716431,False,0,0,True,False
57,763.0,972.0,8.0,8.0,90.0,299.0,0.3161715865135193,0.3847772479057312,False,0,0,True,False
58,763.0,973.0,8.0,8.0,90.0,300.0,0.30716833472251887,0.3821540474891663,False,0,0,True,False
59,763.0,974.0,8.0,8.0,90.0,301.0,0.302693635225296,0.37509191036224365,False,0,0,True,False
60,763.0,975.0,8.0,8.0,90.0,302.0,0.30560964345932007,0.3626631498336792,False,0,0,True,False
61,763.0,976.0,8.0,8.0,90.0,303.0,0.31511646509170527,0.3455198109149933,False,0,0,True,False
62,763.0,977.0,8.0,8.0,90.0,304.0,0.3283011019229889,0.32636457681655884,False,0,0,True,False
63,763.0,978.0,8.0,8.0,90.0,305.0,0.3429344296455384,0.3093143105506897,False,0,0,True,False
64,763.0,979.0,8.0,8.0,90.0,306.0,0.3579629063606262,0.2975907325744629,False,0,0,True,False
65,764.0,968.0,8.0,8.0,91.0,295.0,0.34468233585357666,0.37279251217842096,False,0,0,True,False
66,764.0,969.0,8.0,8.0,91.0,296.0,0.33488991856575007,0.37702411413192743,False,0,0,True,False
67,764.0,970.0,8.0,8.0,91.0,297.0,0.327615350484848,0.3812284171581268,False,0,0,True,False
68,764.0,971.0,8.0,8.0,91.0,298.0,0.31902772188186646,0.38524243235588074,False,0,0,True,False
69,764.0,972.0,8.0,8.0,91.0,299.0,0.30851104855537415,0.38792636990547186,False,0,0,True,False
70,764.0,973.0,8.0,8.0,91.0,300.0,0.2986477017402649,0.3875258266925812,False,0,0,True,False
71,764.0,974.0,8.0,8.0,91.0,301.0,0.29339843988418574,0.38237529993057245,False,0,0,True,False
72,764.0,975.0,8.0,8.0,91.0,302.0,0.2956848442554474,0.3716832399368286,False,0,0,True,False
73,764.0,976.0,8.0,8.0,91.0,303.0,0.3048011660575866,0.3562493026256561,False,0,0,True,False
74,764.0,977.0,8.0,8.0,91.0,304.0,0.3178238868713379,0.33881071209907526,False,0,0,True,False
75,764.0,978.0,8.0,8.0,91.0,305.0,0.33271798491477966,0.3232850134372711,False,0,0,True,False
76,764.0,979.0,8.0,8.0,91.0,306.0,0.34866082668304443,0.31248223781585693,False,0,0,True,False
77,765.0,968.0,8.0,8.0,92.0,295.0,0.3526040613651276,0.3637016117572784,False,0,0,True,False
78,765.0,969.0,8.0,8.0,92.0,296.0,0.33715927600860596,0.3693440556526184,False,0,0,True,False
79,765.0,970.0,8.0,8.0,92.0,297.0,0.32491737604141235,0.3755394220352173,False,0,0,True,False
80,765.0,971.0,8.0,8.0,92.0,298.0,0.3129010498523712,0.3817690014839172,False,0,0,True,False
81,765.0,972.0,8.0,8.0,92.0,299.0,0.30042704939842224,0.386616975069046,False,0,0,True,False
82,765.0,973.0,8.0,8.0,92.0,300.0,0.28940340876579285,0.3881934881210327,False,0,0,True,False
83,765.0,974.0,8.0,8.0,92.0,301.0,0.2832738757133484,0.38484716415405273,False,0,0,True,False
84,765.0,975.0,8.0,8.0,92.0,302.0,0.2848245501518249,0.37591311335563654,False,0,0,True,False
85,765.0,976.0,8.0,8.0,92.0,303.0,0.2931952476501465,0.3623559474945068,False,0,0,True,False
86,765.0,977.0,8.0,8.0,92.0,304.0,0.30532675981521606,0.3470004498958588,False,0,0,True,False
87,765.0,978.0,8.0,8.0,92.0,305.0,0.3194264769554138,0.33364108204841614,False,0,0,True,False
88,765.0,979.0,8.0,8.0,92.0,306.0,0.3351065516471863,0.3247224986553192,False,0,0,True,False
89,765.0,980.0,8.0,8.0,92.0,307.0,0.3521816432476044,0.3193694651126861,False,0,0,True,False
90,766.0,968.0,8.0,8.0,93.0,295.0,0.35887521505355835,0.3536190390586853,False,0,0,True,False
91,766.0,969.0,8.0,8.0,93.0,296.0,0.33942893147468567,0.35957834124565125,False,0,0,True,False
