edge_id,global_i,global_j,block_i,block_j,index_i,index_j,d_contact,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
948,3090.0,3247.0,11.0,11.0,386.0,543.0,0.3374655246734619,1.0849188566207884,True,1,0,False,False
949,3090.0,3248.0,11.0,11.0,386.0,544.0,0.3516961336135864,1.111084222793579,True,1,0,False,False
960,3091.0,3246.0,11.0,11.0,387.0,542.0,0.308186411857605,1.0383262634277344,True,1,0,False,False
961,3091.0,3247.0,11.0,11.0,387.0,543.0,0.3206543028354645,1.0627177953720093,True,1,0,False,False
962,3091.0,3248.0,11.0,11.0,387.0,544.0,0.33252060413360596,1.0870418548583984,True,1,0,False,False
963,3091.0,3249.0,11.0,11.0,387.0,545.0,0.34325736761093134,1.1118956804275513,True,1,0,False,False
964,3091.0,3250.0,11.0,11.0,387.0,546.0,0.3527378439903259,1.137742519378662,True,1,0,False,False
975,3092.0,3247.0,11.0,11.0,388.0,543.0,0.30477991700172424,1.0400643348693848,True,1,0,False,False
976,3092.0,3248.0,11.0,11.0,388.0,544.0,0.31400829553604126,1.0626658201217651,True,1,0,False,False
977,3092.0,3249.0,11.0,11.0,388.0,545.0,0.32274129986763,1.0855515003204343,True,1,0,False,False
978,3092.0,3250.0,11.0,11.0,388.0,546.0,0.3306905031204224,1.1096117496490479,True,1,0,False,False
979,3092.0,3251.0,11.0,11.0,388.0,547.0,0.3379964828491211,1.1354020833969116,True,1,0,False,False
980,3092.0,3252.0,11.0,11.0,388.0,548.0,0.3452298939228058,1.1625497341156004,True,1,0,False,False
981,3092.0,3253.0,11.0,11.0,388.0,549.0,0.353286474943161,1.1896493434906004,True,1,0,False,False
992,3093.0,3249.0,11.0,11.0,389.0,545.0,0.30480802059173584,1.0554275512695312,True,1,0,False,False
993,3093.0,3250.0,11.0,11.0,389.0,546.0,0.31138718128204346,1.0775812864303589,True,1,0,False,False
