edge_id,global_i,global_j,block_i,block_j,index_i,index_j,cell_i,cell_j,d_Cplus,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
75,684.0,1079.0,2.0,2.0,11.0,406.0,3.0,3.0,0.3433027267456054,1.078674077987671,True,1,0,False,False
76,684.0,1080.0,2.0,2.0,11.0,407.0,3.0,3.0,0.35347139835357666,1.082909345626831,True,1,0,False,False
82,685.0,1077.0,2.0,2.0,12.0,404.0,3.0,3.0,0.3507111966609955,1.0443018674850464,True,1,0,False,False
83,685.0,1078.0,2.0,2.0,12.0,405.0,3.0,3.0,0.3446052372455597,1.0440577268600464,True,1,0,False,False
84,685.0,1079.0,2.0,2.0,12.0,406.0,3.0,3.0,0.34579023718833923,1.0458102226257324,True,1,0,False,False
85,685.0,1080.0,2.0,2.0,12.0,407.0,3.0,3.0,0.3533265292644501,1.0503413677215576,True,1,0,False,False
660,1286.0,2065.0,2.0,4.0,613.0,38.0,7.0,7.0,0.3563061058521271,1.0712376832962036,True,0,1,False,False
661,1286.0,2066.0,2.0,4.0,613.0,39.0,7.0,7.0,0.35514411330223083,1.0756999254226685,True,0,1,False,False
662,1286.0,2067.0,2.0,4.0,613.0,40.0,7.0,7.0,0.3582070767879486,1.0813241004943848,True,0,1,False,False
663,1287.0,2064.0,2.0,4.0,614.0,37.0,7.0,7.0,0.3572658598423004,1.0603896379470823,True,0,1,False,False
664,1287.0,2065.0,2.0,4.0,614.0,38.0,7.0,7.0,0.3500065207481384,1.0623432397842407,True,0,1,False,False
665,1287.0,2066.0,2.0,4.0,614.0,39.0,7.0,7.0,0.34507033228874207,1.0657095909118652,True,0,1,False,False
666,1287.0,2067.0,2.0,4.0,614.0,40.0,7.0,7.0,0.34443366527557373,1.070614457130432,True,0,1,False,False
667,1287.0,2068.0,2.0,4.0,614.0,41.0,7.0,7.0,0.3490467667579651,1.0768866539001465,True,0,1,False,False
668,1287.0,2069.0,2.0,4.0,614.0,42.0,7.0,7.0,0.3581997752189636,1.0841823816299438,True,0,1,False,False
669,1288.0,2064.0,2.0,4.0,615.0,37.0,7.0,7.0,0.3587668836116791,1.0526391267776487,True,0,1,False,False
670,1288.0,2065.0,2.0,4.0,615.0,38.0,7.0,7.0,0.3481966555118561,1.0535054206848145,True,0,1,False,False
671,1288.0,2066.0,2.0,4.0,615.0,39.0,7.0,7.0,0.3392694890499115,1.0557442903518677,True,0,1,False,False
672,1288.0,2067.0,2.0,4.0,615.0,40.0,7.0,7.0,0.3344081938266754,1.0597298145294187,True,0,1,False,False
673,1288.0,2068.0,2.0,4.0,615.0,41.0,7.0,7.0,0.33512693643569946,1.0654910802841187,True,0,1,False,False
674,1288.0,2069.0,2.0,4.0,615.0,42.0,7.0,7.0,0.34120914340019226,1.0727670192718504,True,0,1,False,False
675,1288.0,2070.0,2.0,4.0,615.0,43.0,7.0,7.0,0.3508565425872803,1.0812162160873413,True,0,1,False,False
676,1289.0,2065.0,2.0,4.0,616.0,38.0,7.0,7.0,0.35219061374664307,1.045061111450195,True,0,1,False,False
677,1289.0,2066.0,2.0,4.0,616.0,39.0,7.0,7.0,0.33967089653015137,1.0463416576385498,True,0,1,False,False
678,1289.0,2067.0,2.0,4.0,616.0,40.0,7.0,7.0,0.3307134509086609,1.0493597984313965,True,0,1,False,False
679,1289.0,2068.0,2.0,4.0,616.0,41.0,7.0,7.0,0.3273478150367737,1.0543887615203855,True,0,1,False,False
680,1289.0,2069.0,2.0,4.0,616.0,42.0,7.0,7.0,0.3299126923084259,1.0613640546798706,True,0,1,False,False
681,1289.0,2070.0,2.0,4.0,616.0,43.0,7.0,7.0,0.3369993269443512,1.0700241327285767,True,0,1,False,False
682,1289.0,2071.0,2.0,4.0,616.0,44.0,7.0,7.0,0.34635046124458313,1.0801079273223877,True,0,1,False,False
683,1289.0,2072.0,2.0,4.0,616.0,45.0,7.0,7.0,0.3560062050819397,1.0914605855941772,True,0,1,False,False
684,1290.0,2066.0,2.0,4.0,617.0,39.0,7.0,7.0,0.34651568531990046,1.0378260612487793,True,0,1,False,False
685,1290.0,2067.0,2.0,4.0,617.0,40.0,7.0,7.0,0.33419501781463623,1.040045142173767,True,0,1,False,False
686,1290.0,2068.0,2.0,4.0,617.0,41.0,7.0,7.0,0.32720130681991577,1.0442886352539062,True,0,1,False,False
687,1290.0,2069.0,2.0,4.0,617.0,42.0,7.0,7.0,0.3263600170612335,1.0507320165634155,True,0,1,False,False
688,1290.0,2070.0,2.0,4.0,617.0,43.0,7.0,7.0,0.3306971788406372,1.0593093633651731,True,0,1,False,False
689,1290.0,2071.0,2.0,4.0,617.0,44.0,7.0,7.0,0.33820396661758423,1.069836378097534,True,0,1,False,False
690,1290.0,2072.0,2.0,4.0,617.0,45.0,7.0,7.0,0.3469886779785156,1.082094430923462,True,0,1,False,False
691,1290.0,2073.0,2.0,4.0,617.0,46.0,7.0,7.0,0.35603439807891846,1.0958507061004639,True,0,1,False,False
694,1291.0,2068.0,2.0,4.0,618.0,41.0,7.0,7.0,0.33389031887054443,1.0353277921676636,True,0,1,False,False
695,1291.0,2069.0,2.0,4.0,618.0,42.0,7.0,7.0,0.33025726675987244,1.0412206649780271,True,0,1,False,False
696,1291.0,2070.0,2.0,4.0,618.0,43.0,7.0,7.0,0.33211958408355713,1.049521565437317,True,0,1,False,False
697,1291.0,2071.0,2.0,4.0,618.0,44.0,7.0,7.0,0.33774662017822266,1.0602378845214844,True,0,1,False,False
698,1291.0,2072.0,2.0,4.0,618.0,45.0,7.0,7.0,0.3453798294067383,1.073214054107666,True,0,1,False,False
699,1291.0,2073.0,2.0,4.0,618.0,46.0,7.0,7.0,0.3540280759334564,1.088130474090576,True,0,1,False,False
703,1292.0,2070.0,2.0,4.0,619.0,43.0,7.0,7.0,0.33931249380111694,1.0403941869735716,True,0,1,False,False
704,1292.0,2071.0,2.0,4.0,619.0,44.0,7.0,7.0,0.34335818886756897,1.05117130279541,True,0,1,False,False
705,1292.0,2072.0,2.0,4.0,619.0,45.0,7.0,7.0,0.34985849261283875,1.064674973487854,True,0,1,False,False
706,1292.0,2073.0,2.0,4.0,619.0,46.0,7.0,7.0,0.35786980390548706,1.0806186199188232,True,0,1,False,False
710,1293.0,2071.0,2.0,4.0,620.0,44.0,7.0,7.0,0.35230526328086853,1.0417547225952148,True,0,1,False,False
711,1293.0,2072.0,2.0,4.0,620.0,45.0,7.0,7.0,0.3579324781894684,1.0556695461273191,True,0,1,False,False
